Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading tokenizer/base model: sail/Sailor2-3B-Chat
Loading weights:   0%|          | 0/387 [00:00<?, ?it/s]Loading weights: 100%|##########| 387/387 [00:00<00:00, 18428.86it/s]
C:\Users\User\Desktop\NLP\.venv-1\Lib\site-packages\torch\cuda\__init__.py:287: UserWarning: 
NVIDIA GeForce RTX 5090 with CUDA capability sm_120 is not compatible with the current PyTorch installation.
The current PyTorch install supports CUDA capabilities sm_37 sm_50 sm_60 sm_61 sm_70 sm_75 sm_80 sm_86 sm_90 compute_37.
If you want to use the NVIDIA GeForce RTX 5090 GPU with PyTorch, please check the instructions at https://pytorch.org/get-started/locally/

  warnings.warn(
trainable params: 26,685,440 || all params: 3,606,542,848 || trainable%: 0.7399
Training on 12000 sentences
Steps/epoch: 750, total optimizer steps: 1500
epoch 1 step 1200/1500 loss=0.0015 elapsed=101.8min lr=2.06e-05
Saving checkpoint at step 1200 -> trained_models\lora_checkpoint_partial
epoch 1 step 1210/1500 loss=0.0017 elapsed=102.7min lr=1.99e-05
epoch 1 step 1220/1500 loss=0.0014 elapsed=103.5min lr=1.92e-05
epoch 1 step 1230/1500 loss=0.0016 elapsed=104.4min lr=1.86e-05
epoch 1 step 1240/1500 loss=0.0011 elapsed=105.2min lr=1.79e-05
epoch 1 step 1250/1500 loss=0.0009 elapsed=106.0min lr=1.72e-05
epoch 1 step 1260/1500 loss=0.0017 elapsed=106.9min lr=1.65e-05
epoch 1 step 1270/1500 loss=0.0013 elapsed=107.7min lr=1.58e-05
epoch 1 step 1280/1500 loss=0.0018 elapsed=108.6min lr=1.51e-05
epoch 1 step 1290/1500 loss=0.0012 elapsed=109.4min lr=1.44e-05
epoch 1 step 1300/1500 loss=0.0012 elapsed=110.2min lr=1.37e-05
epoch 1 step 1310/1500 loss=0.0017 elapsed=111.1min lr=1.31e-05
epoch 1 step 1320/1500 loss=0.0016 elapsed=111.9min lr=1.24e-05
epoch 1 step 1330/1500 loss=0.0014 elapsed=112.8min lr=1.17e-05
epoch 1 step 1340/1500 loss=0.0010 elapsed=113.6min lr=1.10e-05
epoch 1 step 1350/1500 loss=0.0018 elapsed=114.5min lr=1.03e-05
epoch 1 step 1360/1500 loss=0.0027 elapsed=115.3min lr=9.62e-06
epoch 1 step 1370/1500 loss=0.0013 elapsed=116.1min lr=8.93e-06
epoch 1 step 1380/1500 loss=0.0010 elapsed=117.0min lr=8.25e-06
epoch 1 step 1390/1500 loss=0.0011 elapsed=117.9min lr=7.56e-06
epoch 1 step 1400/1500 loss=0.0016 elapsed=118.7min lr=6.87e-06
Saving checkpoint at step 1400 -> trained_models\lora_checkpoint_partial
epoch 1 step 1410/1500 loss=0.0013 elapsed=119.6min lr=6.19e-06
epoch 1 step 1420/1500 loss=0.0019 elapsed=120.4min lr=5.50e-06
epoch 1 step 1430/1500 loss=0.0013 elapsed=121.3min lr=4.81e-06
epoch 1 step 1440/1500 loss=0.0009 elapsed=122.1min lr=4.12e-06
epoch 1 step 1450/1500 loss=0.0018 elapsed=123.0min lr=3.44e-06
epoch 1 step 1460/1500 loss=0.0008 elapsed=123.8min lr=2.75e-06
epoch 1 step 1470/1500 loss=0.0016 elapsed=124.6min lr=2.06e-06
epoch 1 step 1480/1500 loss=0.0015 elapsed=125.5min lr=1.37e-06
epoch 1 step 1490/1500 loss=0.0011 elapsed=126.3min lr=6.87e-07
epoch 1 step 1500/1500 loss=0.0015 elapsed=127.2min lr=0.00e+00

Training complete. Saving final LoRA adapter -> trained_models\sailor2_malay_lemmatizer_lora_adapter
Merging LoRA into base weights -> trained_models\sailor2_malay_lemmatizer
Writing model shards:   0%|          | 0/1 [00:00<?, ?it/s]Writing model shards: 100%|##########| 1/1 [00:03<00:00,  3.20s/it]Writing model shards: 100%|##########| 1/1 [00:03<00:00,  3.20s/it]
Done.
